time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-03T12:12:46.420Z,33.1201667,-116.3826667,6.59,0.83,ml,27,59,0.1299,0.19,ci,ci37638767,2017-05-03T12:16:18.301Z,"15km S of Borrego Springs, California",earthquake,0.35,1.07,0.159,20,automatic,ci,ci
2017-05-03T12:04:52.701Z,59.5754,-136.874,32.9,2.2,ml,,,,1.16,ak,ak15886880,2017-05-03T12:08:27.365Z,"89km WNW of Haines, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-05-03T11:57:53.415Z,59.7678,-136.6869,0,2,ml,,,,0.65,ak,ak15886878,2017-05-03T12:05:41.090Z,"84km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T11:51:23.120Z,46.1968333,-122.1936667,2.04,0.08,md,6,126,0.003993,0.04,uw,uw61277841,2017-05-03T18:00:29.290Z,"37km NNE of Amboy, Washington",earthquake,0.77,0.76,0.108,3,reviewed,uw,uw
2017-05-03T11:46:40.602Z,59.816,-136.8278,0,2,ml,,,,0.82,ak,ak15886876,2017-05-03T11:51:20.436Z,"94km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T11:40:28.512Z,37.8845,-118.4793,10.5,0.7,ml,10,109.54,0.185,0.2086,nn,nn00587818,2017-05-03T17:14:38.961Z,"50km ENE of Mammoth Lakes, California",earthquake,,6.5,0.36,3,reviewed,nn,nn
2017-05-03T11:26:54.115Z,59.8427,-136.8294,0,1.8,ml,,,,0.75,ak,ak15886875,2017-05-03T11:31:16.733Z,"95km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T11:25:49.869Z,59.7685,-136.6864,0.1,1.9,ml,,,,0.94,ak,ak15886874,2017-05-03T11:29:01.540Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T11:20:49.420Z,59.7164,-136.4982,9,3.8,ml,,,,0.94,us,us10008nsl,2017-05-03T11:43:28.040Z,"72km WNW of Skagway, Alaska",earthquake,4.5,7.5,,,reviewed,ak,ak
2017-05-03T11:14:11.683Z,38.41,-118.9085,9,0.8,ml,8,137.8,0.354,0.1418,nn,nn00587817,2017-05-03T17:05:16.003Z,"27km WSW of Hawthorne, Nevada",earthquake,,3.5,0.16,4,reviewed,nn,nn
2017-05-03T11:03:32.160Z,45.7553333,-111.763,4.47,-0.5,ml,4,193,0.115,0.21,mb,mb80207709,2017-05-03T14:59:18.470Z,"22km SW of Three Forks, Montana",earthquake,4.15,12.21,,0,reviewed,mb,mb
2017-05-03T11:02:12.208Z,59.7582,-136.6726,0,2.5,ml,,,,0.63,ak,ak15886863,2017-05-03T11:07:04.510Z,"83km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T10:58:16.299Z,39.5932,-120.6686,0,0.3,ml,5,268.48,0.339,0.206,nn,nn00587856,2017-05-03T18:37:44.794Z,"14km ENE of Downieville, California",earthquake,,0,0.17,2,reviewed,nn,nn
2017-05-03T10:55:21.394Z,59.8211,-136.8311,0.1,2.2,ml,,,,0.86,ak,ak15886860,2017-05-03T11:02:34.662Z,"94km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T10:54:34.630Z,34.2481667,-117.4511667,3.69,0.63,ml,9,168,0.03186,0.13,ci,ci37638751,2017-05-03T10:58:03.881Z,"14km NW of Muscoy, California",earthquake,0.53,0.47,0.161,8,automatic,ci,ci
