cx,cy
308,176
312,40
312,44
312,48
312,52
312,56
312,60
312,64
312,72
312,88
312,92
312,96
312,100
312,104
312,108
312,132
312,136
312,140
312,144
312,148
312,152
312,156
312,160
312,164
312,168
312,172
312,176
316,28
316,32
316,36
316,40
316,44
316,48
316,52
316,56
316,60
316,64
316,68
316,92
316,96
316,100
316,104
316,108
316,132
316,136
316,140
316,144
316,148
316,152
316,156
316,160
316,164
316,168
316,172
316,176
320,28
320,32
320,36
320,40
320,44
320,48
320,52
320,56
320,60
320,64
320,68
320,92
320,96
320,100
320,104
320,108
320,136
320,140
320,144
320,148
320,152
320,156
320,160
320,164
320,168
320,172
320,176
324,36
324,40
324,44
324,48
324,52
324,60
324,64
324,68
324,92
324,96
324,100
324,104
324,108
324,112
324,136
324,140
324,144
324,148
324,152
324,156
324,160
324,164
324,168
324,172
324,176
328,32
328,36
328,40
328,44
328,48
328,52
328,92
328,100
328,104
328,108
328,112
328,136
328,140
328,144
328,148
328,152
328,156
328,160
328,164
328,168
328,172
328,176
332,40
332,44
332,48
332,52
332,104
332,108
332,136
332,140
332,144
332,148
332,152
332,156
332,160
332,164
332,168
332,172
332,176
336,40
336,44
336,48
336,52
336,56
336,60
336,140
336,144
336,148
336,152
336,156
336,160
336,164
336,168
336,172
336,176
340,40
340,44
340,48
340,52
340,56
340,140
340,144
340,148
340,152
340,156
340,160
340,164
340,168
340,172
340,176
344,40
344,44
344,48
344,52
344,140
344,144
344,148
344,152
344,156
344,160
344,164
344,168
344,172
344,176
348,40
348,44
348,48
348,140
348,144
348,152
348,156
348,160
348,164
348,168
348,172
348,176
352,40
352,44
352,48
352,152
352,156
352,160
352,164
352,168
352,172
352,176
356,40
356,44
356,48
356,152
356,156
356,160
356,164
356,168
356,172
356,176
